"","country","cases","rate","ma","date"
"1","US",1,0,NA,2020-01-22
"2","US",1,0,NA,2020-01-23
"3","US",2,1,NA,2020-01-24
"4","US",2,0,NA,2020-01-25
"5","US",5,3,NA,2020-01-26
"6","US",5,0,NA,2020-01-27
"7","US",5,0,0.714285714285714,2020-01-28
"8","US",6,1,0.714285714285714,2020-01-29
"9","US",6,0,0.785714285714286,2020-01-30
"10","US",8,2,0.714285714285714,2020-01-31
"11","US",8,0,0.714285714285714,2020-02-01
"12","US",8,0,0.5,2020-02-02
"13","US",11,3,0.5,2020-02-03
"14","US",11,0,0.571428571428571,2020-02-04
"15","US",11,0,0.5,2020-02-05
"16","US",12,1,0.571428571428571,2020-02-06
"17","US",12,0,0.428571428571429,2020-02-07
"18","US",12,0,0.428571428571429,2020-02-08
"19","US",12,0,0.428571428571429,2020-02-09
"20","US",12,0,0.214285714285714,2020-02-10
"21","US",13,1,0.214285714285714,2020-02-11
"22","US",13,0,0.214285714285714,2020-02-12
"23","US",14,1,0.142857142857143,2020-02-13
"24","US",14,0,0.285714285714286,2020-02-14
"25","US",14,0,0.285714285714286,2020-02-15
"26","US",14,0,0.285714285714286,2020-02-16
"27","US",14,0,0.285714285714286,2020-02-17
"28","US",14,0,0.214285714285714,2020-02-18
"29","US",14,0,0.214285714285714,2020-02-19
"30","US",14,0,0.214285714285714,2020-02-20
"31","US",16,2,0.214285714285714,2020-02-21
"32","US",16,0,0.785714285714286,2020-02-22
"33","US",16,0,1.28571428571429,2020-02-23
"34","US",16,0,2.92857142857143,2020-02-24
"35","US",16,0,4.28571428571429,2020-02-25
"36","US",16,0,6.64285714285714,2020-02-26
"37","US",17,1,12.1428571428571,2020-02-27
"38","US",17,0,15.7857142857143,2020-02-28
"39","US",25,8,27.6428571428571,2020-02-29
"40","US",32,7,35.9285714285714,2020-03-01
"41","US",55,23,41.2857142857143,2020-03-02
"42","US",74,19,54.7142857142857,2020-03-03
"43","US",107,33,80.7857142857143,2020-03-04
"44","US",184,77,112.071428571429,2020-03-05
"45","US",237,53,157.285714285714,2020-03-06
"46","US",403,166,210.928571428571,2020-03-07
"47","US",519,116,227.142857142857,2020-03-08
"48","US",594,75,330.285714285714,2020-03-09
"49","US",782,188,459.857142857143,2020-03-10
"50","US",1147,365,647.285714285714,2020-03-11
"51","US",1586,439,962.785714285714,2020-03-12
"52","US",2219,633,1413.78571428571,2020-03-13
"53","US",2978,759,1830.14285714286,2020-03-14
"54","US",3212,234,2455.64285714286,2020-03-15
"55","US",4679,1467,3253,2020-03-16
"56","US",6512,1833,3998.07142857143,2020-03-17
"57","US",9169,2657,4835,2020-03-18
"58","US",13663,4494,6079.07142857143,2020-03-19
"59","US",20030,6367,7368.85714285714,2020-03-20
"60","US",26025,5995,8716.78571428571,2020-03-21
"61","US",34898,8873,10050,2020-03-22
"62","US",46136,11238,11522,2020-03-23
"63","US",56755,10619,13270.6428571429,2020-03-24
"64","US",68837,12082,15383.9285714286,2020-03-25
"65","US",86693,17856,17365.4285714286,2020-03-26
"66","US",105383,18690,19216.8571428571,2020-03-27
"67","US",125013,19630,21104.0714285714,2020-03-28
"68","US",143912,18899,22604.3571428571,2020-03-29
"69","US",165987,22075,24043.1428571429,2020-03-30
"70","US",192301,26314,25482.2857142857,2020-03-31
"71","US",224544,32243,26847.2857142857,2020-04-01
"72","US",256779,32235,28139.0714285714,2020-04-02
"73","US",289066,32287,29262.2857142857,2020-04-03
"74","US",321482,32416,29940.8571428571,2020-04-04
"75","US",351359,29877,30537.7142857143,2020-04-05
"76","US",382740,31381,30884.5,2020-04-06
"77","US",413507,30767,31060.7142857143,2020-04-07
"78","US",444699,31192,30574.7857142857,2020-04-08
"79","US",480640,35941,30417.6428571429,2020-04-09
"80","US",515055,34415,30470.7142857143,2020-04-10
"81","US",544185,29130,30150.4285714286,2020-04-11
"82","US",571440,27255,29880.3571428571,2020-04-12
"83","US",598370,26930,29769.4285714286,2020-04-13
"84","US",627151,28781,29423,2020-04-14
"85","US",652591,25440,29256.3571428571,2020-04-15
"86","US",682626,30035,29087,2020-04-16
"87","US",715656,33030,28937.8571428571,2020-04-17
"88","US",743588,27932,29028.2142857143,2020-04-18
"89","US",769684,26096,28974.3571428571,2020-04-19
"90","US",799512,29828,28743.8571428571,2020-04-20
"91","US",825429,25917,28443.5714285714,2020-04-21
"92","US",854288,28859,28514.8571428571,2020-04-22
"93","US",887858,33570,28456.6428571429,2020-04-23
"94","US",920185,32327,28592.0714285714,2020-04-24
"95","US",950580,30395,28550.5,2020-04-25
"96","US",977081,26501,28422,2020-04-26
"97","US",1000784,23703,28011.7857142857,2020-04-27
"98","US",1025361,24577,27912.7857142857,2020-04-28
"99","US",1051799,26438,27605.6428571429,2020-04-29
"100","US",1081019,29220,27165.7857142857,2020-04-30
"101","US",1115945,34926,26773.7142857143,2020-05-01
"102","US",1143295,27350,26398.0714285714,2020-05-02
"103","US",1167592,24297,25852.7857142857,2020-05-03
"104","US",1191677,24085,25536.2142857143,2020-05-04
"105","US",1216208,24531,25419.7857142857,2020-05-05
"106","US",1240767,24559,24989.0714285714,2020-05-06
"107","US",1268179,27412,24817.5,2020-05-07
"108","US",1295017,26838,24090.4285714286,2020-05-08
"109","US",1320153,25136,23862.5,2020-05-09
"110","US",1339020,18867,23438.6428571429,2020-05-10
"111","US",1358291,19271,23317.5714285714,2020-05-11
"112","US",1381238,22947,23065.8571428571,2020-05-12
"113","US",1401646,20408,22932.8571428571,2020-05-13
"114","US",1428464,26818,22815.2857142857,2020-05-14
"115","US",1453211,24747,22588,2020-05-15
"116","US",1477370,24159,22300.5714285714,2020-05-16
"117","US",1495733,18363,22386.2857142857,2020-05-17
"118","US",1518123,22390,22343.5,2020-05-18
"119","US",1539130,21007,22108,2020-05-19
"120","US",1561827,22697,21975.2142857143,2020-05-20
"121","US",1587593,25766,21654.0714285714,2020-05-21
"122","US",1611249,23656,21634.4285714286,2020-05-22
"123","US",1632361,21112,21596.8571428571,2020-05-23
"124","US",1652428,20067,21641.4285714286,2020-05-24
"125","US",1671100,18672,21287.5,2020-05-25
"126","US",1690750,19650,21322.9285714286,2020-05-26
"127","US",1709299,18549,21119.1428571429,2020-05-27
"128","US",1731621,22322,20825.0714285714,2020-05-28
"129","US",1756093,24472,20949.6428571429,2020-05-29
"130","US",1779726,23633,20953.0714285714,2020-05-30
"131","US",1798713,18987,20799.4285714286,2020-05-31
"132","US",1816148,17435,20725.5,2020-06-01
"133","US",1837651,21503,20634.9285714286,2020-06-02
"134","US",1857495,19844,20817.8571428571,2020-06-03
"135","US",1879144,21649,20875.7142857143,2020-06-04
"136","US",1904544,25400,20903.7857142857,2020-06-05
"137","US",1925704,21160,21016.2857142857,2020-06-06
"138","US",1943620,17916,21013.5,2020-06-07
"139","US",1961257,17637,21183.7857142857,2020-06-08
"140","US",1979639,18382,21338.5714285714,2020-06-09
"141","US",2000749,21110,21853.8571428571,2020-06-10
"142","US",2023881,23132,22344.7857142857,2020-06-11
"143","US",2048746,24865,22784.7857142857,2020-06-12
"144","US",2073954,25208,23578.2857142857,2020-06-13
"145","US",2092902,18948,24094.7142857143,2020-06-14
"146","US",2112721,19819,25131.1428571429,2020-06-15
"147","US",2136391,23670,26465.5,2020-06-16
"148","US",2163449,27058,27518.9285714286,2020-06-17
"149","US",2191971,28522,28746.2857142857,2020-06-18
"150","US",2223531,31560,30254.6428571429,2020-06-19
"151","US",2255800,32269,31406.9285714286,2020-06-20
"152","US",2280946,25146,32962.4285714286,2020-06-21
"153","US",2313093,32147,34495.2857142857,2020-06-22
"154","US",2350156,37063,36120.7142857143,2020-06-23
"155","US",2386014,35858,37888.6428571429,2020-06-24
"156","US",2426329,40315,39896.1428571429,2020-06-25
"157","US",2472311,45982,41310.2142857143,2020-06-26
"158","US",2513651,41340,42268.0714285714,2020-06-27
"159","US",2554376,40725,44098.2857142857,2020-06-28
"160","US",2595655,41279,44878.6428571429,2020-06-29
"161","US",2642081,46426,46562.8571428571,2020-06-30
"162","US",2693890,51809,48295.1428571429,2020-07-01
"163","US",2750517,56627,49878.8571428571,2020-07-02
"164","US",2801874,51357,51454.3571428571,2020-07-03
"165","US",2847553,45679,52788.2857142857,2020-07-04
"166","US",2898322,50769,54054.3571428571,2020-07-05
"167","US",2941394,43072,55312.2142857143,2020-07-06
"168","US",3002036,60642,56854.0714285714,2020-07-07
"169","US",3062146,60110,58018.2142857143,2020-07-08
"170","US",3124633,62487,59388.3571428571,2020-07-09
"171","US",3192672,68039,60880.6428571429,2020-07-10
"172","US",3252687,60015,62084.7857142857,2020-07-11
"173","US",3311137,58450,62777.7857142857,2020-07-12
"174","US",3370026,58889,64135.6428571429,2020-07-13
"175","US",3438038,68012,64410.2857142857,2020-07-14
"176","US",3506145,68107,65156.7857142857,2020-07-15
"177","US",3581954,75809,65581.1428571429,2020-07-16
"178","US",3654203,72249,65957,2020-07-17
"179","US",3716740,62537,66305.8571428571,2020-07-18
"180","US",3777211,60471,66048.5,2020-07-19
"181","US",3839293,62082,65894.8571428571,2020-07-20
"182","US",3903780,64487,65783.2142857143,2020-07-21
"183","US",3974341,70561,66047.9285714286,2020-07-22
"184","US",4042769,68428,65448.5714285714,2020-07-23
"185","US",4116070,73301,65194.8571428571,2020-07-24
"186","US",4180969,64899,64740.3571428571,2020-07-25
"187","US",4235816,54847,63674.3571428571,2020-07-26
"188","US",4292554,56738,62491.4285714286,2020-07-27
"189","US",4359003,66449,62083.2142857143,2020-07-28
"190","US",4430816,71813,60932.2857142857,2020-07-29
"191","US",4498234,67418,60282.7142857143,2020-07-30
"192","US",4566931,68697,59280.4285714286,2020-07-31
"193","US",4623105,56174,58509.8571428571,2020-08-01
"194","US",4668652,45547,57859.9285714286,2020-08-02
"195","US",4714173,45521,57208.6428571429,2020-08-03
"196","US",4772945,58772,55887.6428571429,2020-08-04
"197","US",4827393,54448,54756.9285714286,2020-08-05
"198","US",4886727,59334,53604,2020-08-06
"199","US",4945996,59269,53362.9285714286,2020-08-07
"200","US",5000107,54111,52700.6428571429,2020-08-08
"201","US",5045855,45748,52246.5,2020-08-09
"202","US",5093475,47620,51613.1428571429,2020-08-10
"203","US",5141430,47955,50629.2857142857,2020-08-11
"204","US",5197413,55983,50122.0714285714,2020-08-12
"205","US",5248690,51277,49011.6428571429,2020-08-13
"206","US",5314012,65322,48257.1428571429,2020-08-14
"207","US",5360914,46902,47466.7142857143,2020-08-15
